"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 06:54:20 UTC 2026","Thu May 14 06:54:31 UTC 2026","10994","","test_script","","","","test_open_google",""
"passed","Thu May 14 06:54:34 UTC 2026","Thu May 14 06:54:46 UTC 2026","11855","","test_script","","","","test_back_to_google",""
"broken","Thu May 14 06:54:46 UTC 2026","Thu May 14 06:55:07 UTC 2026","20885","","test_script","","","","test_search_pen_on_google",""
"failed","Thu May 14 06:54:32 UTC 2026","Thu May 14 06:54:33 UTC 2026","1603","","test_script","","","","test_open_facebook",""
